EventIDTimeLatitudeLongitudeDepth/kmMagTypeMagnitudeEventLocationName
20130828.1002001,2013-08-28T10:02:15,46.9969,-66.5972,5.0,MN,2.5,61 km E from Plaster Rock NB. Aftershock/61 km E de Plaster Rock NB. Replique
20130828.0944001,2013-08-28T09:44:34,46.9913,-66.6064,5.0,MN,3.2,61 km E from Plaster Rock NB/61 km E de Plaster Rock NB
20130826.1731001,2013-08-26T17:31:13,44.0141,-66.1408,18.0,MN,2.0,20 km N from Yarmouth NS/20 km N de Yarmouth NS
20130824.0751001,2013-08-24T07:51:24,47.0299,-65.2471,5.0,MN,2.9,17 km E from Miramichi NB/17 km E de Miramichi NB
20130822.1856001,2013-08-22T18:56:53,46.5228,-66.2451,5.0,MN,2.6,67 km W from Rogersville NB/67 km O de Rogersville NB
20130805.2347001,2013-08-05T23:47:37,47.0125,-66.5,5.0,MN,1.9,69 km E from Plaster Rock NB/69 km E de Plaster Rock NB
20130725.1231001,2013-07-25T12:31:24,46.2915,-66.9453,5.0,MN,2.8,39 km NE from Nackawic NB Felt/39 km N-E de Nackawic NB Ressenti
20130620.0137001,2013-06-20T01:37:20,46.5196,-66.2489,5.0,MN,2.9,67 km W  from Rogersville NB felt/67 km O de Rogersville NB ressenti
20130617.0701001,2013-06-17T07:01:21,47.0795,-66.4492,5.0,MN,1.7,74 km E from Plaster Rock NB/74 km E de Plaster Rock NB
20130602.0309001,2013-06-02T03:09:45,44.7936,-64.9681,18.0,MN,1.3,19 km SE from Middleton NS/19 km S-E de Middleton NS
20130529.0555001,2013-05-29T05:55:51,45.4651,-64.3331,18.0,MN,1.5,7 km N from Parrsboro NS/7 km N de Parrsboro NS
20130517.1833001,2013-05-17T18:33:05,46.3991,-66.9163,5.0,MN,2.1,51 km NE from Nackawic NB/51 km N-E de Nackawic NB
20130504.0158001,2013-05-04T01:58:11,45.0179,-59.397,18.0,MN,1.9,Offshore Nova Scotia./Au large de la Nouvelle-Ecosse.
20130430.1344001,2013-04-30T13:44:45,46.9957,-66.5869,5.0,MN,2.4,62 km E from Plaster Rock NB/62 km E de Plaster Rock NB
20130427.0334001,2013-04-27T03:34:51,47.0271,-66.5899,5.0,MN,2.3,63 km E from Plaster Rock NB/63 km E de Plaster Rock NB
20130401.1232001,2013-04-01T12:32:53,45.5386,-66.0403,5.0,MN,2.3,15 km W from Hampton NB/15 km O de Hampton NB
20130331.0811001,2013-03-31T08:11:34,46.2634,-64.0983,18.0,MN,2.2,29 km SW from Summerside PE/29 km S-O de Summerside PE
20130321.0522002,2013-03-21T05:22:17,46.4298,-66.1224,5.0,MN,3.2,61 km SW from Rogersville NB/61 km S-O de Rogersville NB
20130305.1351001,2013-03-05T13:51:15,46.7284,-63.6624,18.0,MN,1.9,33 km E from Alberton PE/33 km E de Alberton PE
20130202.0720003,2013-02-02T07:20:48,46.0198,-64.797,5.0,MN,2.2,11 km S from Moncton NB/11 km S de Moncton NB
20130201.1649001,2013-02-01T16:49:17,43.9475,-65.9937,18.0,MN,2.7,16 km NE from Yarmouth NS/16 km N-E de Yarmouth NS
20130102.1636001,2013-01-02T16:36:22,47.0202,-66.4967,5.0,MN,3.0,69 km E from Plaster Rock NB/69 km E de Plaster Rock NB
20121130.0643001,2012-11-30T06:43:26,46.0082,-64.8268,5.0,ML,0.100001,12 km S  from Moncton NB/12 km S  de Moncton NB
20121003.0513004,2012-10-03T05:13:39,46.7755,-65.8534,5.0,MN,2.0,33 km W from Rogersville NB/33 km O de Rogersville NB
20120909.0347005,2012-09-09T03:47:58,45.3179,-65.5093,5.0,MN,2.4,36 km SE from Hampton NB/36 km S-E de Hampton NB
20120814.0352001,2012-08-14T03:52:24,47.0806,-66.6323,5.0,MN,2.1,61 km E from Plaster Rock NB/61 km E de Plaster Rock NB
20120808.0157001,2012-08-08T01:57:31,45.1891,-66.6603,5.0,MN,1.5,34 km E from Saint Andrews NB/34 km E de Saint Andrews NB
20120807.0302001,2012-08-07T03:02:42,45.2492,-66.8228,5.0,MN,2.6,26 km NE from Saint Andrews NB. Felt/26 km N-E de Saint Andrews NB. Ressenti
20120802.1504001,2012-08-02T15:04:49,47.0874,-66.8304,5.0,MN,2.1,47 km NE from Plaster Rock NB/47 km N-E de Plaster Rock NB
20120707.0409001,2012-07-07T04:09:32,45.254,-59.8597,18.0,MN,2.5,75 km S from Louisbourg NS/75 km S de Louisbourg NS
20120628.0751001,2012-06-28T07:51:06,44.2471,-65.4005,18.0,MN,2.2,50 km SE from Digby NS/50 km S-E de Digby NS
20120610.1936001,2012-06-10T19:36:11,44.8458,-66.9707,5.0,MN,1.9,28 km S from Saint Andrews NB/28 km S de Saint Andrews NB
20120603.0141002,2012-06-03T01:41:54,47.048,-66.5413,5.0,MN,2.1,67 km E from Plaster Rock NB/67 km E de Plaster Rock NB
20120531.0658001,2012-05-31T06:58:25,45.4855,-65.247,5.0,MN,2.3,33 km SE from Sussex NB/33 km S-E de Sussex NB
20120525.0851001,2012-05-25T08:51:54,46.8034,-66.3269,5.0,MN,2.1,69 km W from Rogersville NB/69 km O de Rogersville NB
